"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal im Monat","2003","17-34","kein Migrationshintergrund","486","0.10582458196409","0.0968558392760523","0.114793324652128"
"Mindestens einmal im Monat","2003","17-34","direkter Migrationshintergrund","69","0.100047570527104","0.0771898906200267","0.122905250434182"
"Mindestens einmal im Monat","2003","17-34","indirekter Migrationshintergrund","63","0.100011530772642","0.0765470051238909","0.123476056421394"
"Mindestens einmal im Monat","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2003","35-65","kein Migrationshintergrund","909","0.0844680527977478","0.079240765594242","0.0896953400012536"
"Mindestens einmal im Monat","2003","35-65","direkter Migrationshintergrund","70","0.0457713411013565","0.0354697287665211","0.0560729534361919"
"Mindestens einmal im Monat","2003","35-65","indirekter Migrationshintergrund","10","","",""
"Mindestens einmal im Monat","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2003","66 +","kein Migrationshintergrund","110","","",""
"Mindestens einmal im Monat","2003","66 +","direkter Migrationshintergrund","8","0.0336397448344671","0.0148044407660922","0.0524750489028419"
"Mindestens einmal im Monat","2003","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2003","17-34","kein Migrationshintergrund","2094","","",""
"Mindestens einmal die Woche","2003","17-34","direkter Migrationshintergrund","192","","",""
"Mindestens einmal die Woche","2003","17-34","indirekter Migrationshintergrund","262","","",""
"Mindestens einmal die Woche","2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2003","35-65","kein Migrationshintergrund","4218","0.366971720068395","0.357911865548305","0.376031574588485"
"Mindestens einmal die Woche","2003","35-65","direkter Migrationshintergrund","295","","",""
"Mindestens einmal die Woche","2003","35-65","indirekter Migrationshintergrund","54","0.369494890987673","0.288671637007948","0.450318144967398"
"Mindestens einmal die Woche","2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2003","66 +","kein Migrationshintergrund","676","0.195572766601453","0.181967593543267","0.209177939659639"
"Mindestens einmal die Woche","2003","66 +","direkter Migrationshintergrund","33","0.111000020578954","0.0781837544976499","0.143816286660258"
"Mindestens einmal die Woche","2003","66 +","indirekter Migrationshintergrund","4","0.442855948307319","0.17283876342318","0.712873133191458"
"Mindestens einmal die Woche","2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2004","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2004","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2004","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2004","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2004","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2004","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2004","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2004","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2004","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2004","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2004","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2004","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2004","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2004","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2004","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2004","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2004","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2004","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2004","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2004","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2004","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2004","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2005","17-34","kein Migrationshintergrund","883","0.221433180930433","0.208723768954814","0.234142592906052"
"Fast nie oder nie","2005","17-34","direkter Migrationshintergrund","201","","",""
"Fast nie oder nie","2005","17-34","indirekter Migrationshintergrund","169","","",""
"Fast nie oder nie","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2005","35-65","kein Migrationshintergrund","3561","0.379701320589474","0.370158785146335","0.389243856032613"
"Fast nie oder nie","2005","35-65","direkter Migrationshintergrund","884","0.587968080926647","0.56275535178545","0.613180810067843"
"Fast nie oder nie","2005","35-65","indirekter Migrationshintergrund","52","0.358461330138457","0.282966916276328","0.433955744000585"
"Fast nie oder nie","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2005","66 +","kein Migrationshintergrund","2270","","",""
"Fast nie oder nie","2005","66 +","direkter Migrationshintergrund","293","","",""
"Fast nie oder nie","2005","66 +","indirekter Migrationshintergrund","11","","",""
"Fast nie oder nie","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2005","17-34","kein Migrationshintergrund","1000","","",""
"Mehrmals im Jahr","2005","17-34","direkter Migrationshintergrund","115","","",""
"Mehrmals im Jahr","2005","17-34","indirekter Migrationshintergrund","149","","",""
"Mehrmals im Jahr","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2005","35-65","kein Migrationshintergrund","2058","","",""
"Mehrmals im Jahr","2005","35-65","direkter Migrationshintergrund","237","","",""
"Mehrmals im Jahr","2005","35-65","indirekter Migrationshintergrund","40","0.23616193850904","0.169298633139398","0.303025243878682"
"Mehrmals im Jahr","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2005","66 +","kein Migrationshintergrund","247","","",""
"Mehrmals im Jahr","2005","66 +","direkter Migrationshintergrund","19","","",""
"Mehrmals im Jahr","2005","66 +","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2005","17-34","kein Migrationshintergrund","472","0.117083864252352","0.107242293628791","0.126925434875914"
"Mindestens einmal im Monat","2005","17-34","direkter Migrationshintergrund","52","0.117389308022218","0.08985543516111","0.144923180883326"
"Mindestens einmal im Monat","2005","17-34","indirekter Migrationshintergrund","78","0.1427011356795","0.115833006006302","0.169569265352698"
"Mindestens einmal im Monat","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2005","35-65","kein Migrationshintergrund","782","0.0824238843210128","0.0770164669919992","0.0878313016500264"
"Mindestens einmal im Monat","2005","35-65","direkter Migrationshintergrund","80","0.0545547830383848","0.0429212359065665","0.0661883301702031"
"Mindestens einmal im Monat","2005","35-65","indirekter Migrationshintergrund","10","","",""
"Mindestens einmal im Monat","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2005","66 +","kein Migrationshintergrund","134","","",""
"Mindestens einmal im Monat","2005","66 +","direkter Migrationshintergrund","10","","",""
"Mindestens einmal im Monat","2005","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2005","17-34","kein Migrationshintergrund","1745","","",""
"Mindestens einmal die Woche","2005","17-34","direkter Migrationshintergrund","157","","",""
"Mindestens einmal die Woche","2005","17-34","indirekter Migrationshintergrund","255","","",""
"Mindestens einmal die Woche","2005","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2005","35-65","kein Migrationshintergrund","3535","0.331618190039165","0.322361115027048","0.340875265051281"
"Mindestens einmal die Woche","2005","35-65","direkter Migrationshintergrund","263","","",""
"Mindestens einmal die Woche","2005","35-65","indirekter Migrationshintergrund","53","0.361948356632004","0.286294083629582","0.437602629634426"
"Mindestens einmal die Woche","2005","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2005","66 +","kein Migrationshintergrund","702","0.19216244505382","0.178826383487585","0.205498506620054"
"Mindestens einmal die Woche","2005","66 +","direkter Migrationshintergrund","41","0.128318313614661","0.0939135909724976","0.162723036256824"
"Mindestens einmal die Woche","2005","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2005","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2006","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2006","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2006","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2006","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2006","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2006","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2006","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2006","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","2006","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2006","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2006","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2006","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2006","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2006","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2006","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2006","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2006","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2006","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2006","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2007","17-34","kein Migrationshintergrund","841","0.234559819084855","0.220837988001632","0.248281650168077"
"Fast nie oder nie","2007","17-34","direkter Migrationshintergrund","150","","",""
"Fast nie oder nie","2007","17-34","indirekter Migrationshintergrund","166","","",""
"Fast nie oder nie","2007","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2007","35-65","kein Migrationshintergrund","3415","0.355328895577228","0.345917619345997","0.364740171808458"
"Fast nie oder nie","2007","35-65","direkter Migrationshintergrund","758","0.571830595395109","0.544860012153862","0.598801178636356"
"Fast nie oder nie","2007","35-65","indirekter Migrationshintergrund","57","0.276069176147086","0.21182272947227","0.340315622821902"
"Fast nie oder nie","2007","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2007","66 +","kein Migrationshintergrund","2450","","",""
"Fast nie oder nie","2007","66 +","direkter Migrationshintergrund","301","0.797349837493818","0.756556277396501","0.838143397591135"
"Fast nie oder nie","2007","66 +","indirekter Migrationshintergrund","9","0.822851720899954","0.597229947649181","1.04847349415073"
"Fast nie oder nie","2007","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2007","17-34","kein Migrationshintergrund","839","0.226468894506371","0.212914728421248","0.240023060591495"
"Mehrmals im Jahr","2007","17-34","direkter Migrationshintergrund","99","0.246997808574985","0.20670139242887","0.2872942247211"
"Mehrmals im Jahr","2007","17-34","indirekter Migrationshintergrund","100","","",""
"Mehrmals im Jahr","2007","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2007","35-65","kein Migrationshintergrund","1978","","",""
"Mehrmals im Jahr","2007","35-65","direkter Migrationshintergrund","209","","",""
"Mehrmals im Jahr","2007","35-65","indirekter Migrationshintergrund","52","0.311711255775481","0.245145143215208","0.378277368335754"
"Mehrmals im Jahr","2007","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2007","66 +","kein Migrationshintergrund","324","0.0775188555366158","0.0691337446434772","0.0859039664297545"
"Mehrmals im Jahr","2007","66 +","direkter Migrationshintergrund","26","","",""
"Mehrmals im Jahr","2007","66 +","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","2007","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2007","17-34","kein Migrationshintergrund","401","0.111708497045058","0.101507315184443","0.121909678905672"
"Mindestens einmal im Monat","2007","17-34","direkter Migrationshintergrund","51","0.117536314184933","0.0874439570082059","0.14762867136166"
"Mindestens einmal im Monat","2007","17-34","indirekter Migrationshintergrund","87","0.141626188556894","0.113299447535681","0.169952929578107"
"Mindestens einmal im Monat","2007","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2007","35-65","kein Migrationshintergrund","761","0.0724959945666149","0.0673970644669956","0.0775949246662342"
"Mindestens einmal im Monat","2007","35-65","direkter Migrationshintergrund","51","0.047727130929147","0.0361069685168065","0.0593472933414874"
"Mindestens einmal im Monat","2007","35-65","indirekter Migrationshintergrund","9","0.0519651467746793","0.0200674114587858","0.0838628820905729"
"Mindestens einmal im Monat","2007","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2007","66 +","kein Migrationshintergrund","131","","",""
"Mindestens einmal im Monat","2007","66 +","direkter Migrationshintergrund","7","0.014500079455232","0.00236878447723599","0.026631374433228"
"Mindestens einmal im Monat","2007","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2007","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2007","17-34","kein Migrationshintergrund","1582","","",""
"Mindestens einmal die Woche","2007","17-34","direkter Migrationshintergrund","140","","",""
"Mindestens einmal die Woche","2007","17-34","indirekter Migrationshintergrund","229","","",""
"Mindestens einmal die Woche","2007","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2007","35-65","kein Migrationshintergrund","3781","0.366320057229056","0.356846142205205","0.375793972252908"
"Mindestens einmal die Woche","2007","35-65","direkter Migrationshintergrund","275","","",""
"Mindestens einmal die Woche","2007","35-65","indirekter Migrationshintergrund","68","0.360254421302754","0.291262232196092","0.429246610409416"
"Mindestens einmal die Woche","2007","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2007","66 +","kein Migrationshintergrund","1002","","",""
"Mindestens einmal die Woche","2007","66 +","direkter Migrationshintergrund","39","0.112084043961573","0.0800691917599168","0.14409889616323"
"Mindestens einmal die Woche","2007","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2007","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2008","17-34","kein Migrationshintergrund","627","0.185340216831605","0.172259811139713","0.198420622523497"
"Fast nie oder nie","2008","17-34","direkter Migrationshintergrund","111","","",""
"Fast nie oder nie","2008","17-34","indirekter Migrationshintergrund","134","","",""
"Fast nie oder nie","2008","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2008","35-65","kein Migrationshintergrund","2429","","",""
"Fast nie oder nie","2008","35-65","direkter Migrationshintergrund","602","0.513970887184051","0.485171595031089","0.542770179337012"
"Fast nie oder nie","2008","35-65","indirekter Migrationshintergrund","57","0.293683600053957","0.228751913774675","0.358615286333239"
"Fast nie oder nie","2008","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2008","66 +","kein Migrationshintergrund","2083","","",""
"Fast nie oder nie","2008","66 +","direkter Migrationshintergrund","268","","",""
"Fast nie oder nie","2008","66 +","indirekter Migrationshintergrund","8","0.60775705677583","0.319224832934795","0.896289280616865"
"Fast nie oder nie","2008","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2008","17-34","kein Migrationshintergrund","728","0.214334156604466","0.2005203659056","0.228147947303332"
"Mehrmals im Jahr","2008","17-34","direkter Migrationshintergrund","73","0.226401897141505","0.183643451377877","0.269160342905133"
"Mehrmals im Jahr","2008","17-34","indirekter Migrationshintergrund","108","","",""
"Mehrmals im Jahr","2008","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2008","35-65","kein Migrationshintergrund","2044","","",""
"Mehrmals im Jahr","2008","35-65","direkter Migrationshintergrund","192","","",""
"Mehrmals im Jahr","2008","35-65","indirekter Migrationshintergrund","41","0.185273883484418","0.129884043519932","0.240663723448903"
"Mehrmals im Jahr","2008","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2008","66 +","kein Migrationshintergrund","426","0.110712919982139","0.100848740526147","0.120577099438132"
"Mehrmals im Jahr","2008","66 +","direkter Migrationshintergrund","31","0.0708532092267722","0.0446384356916844","0.0970679827618599"
"Mehrmals im Jahr","2008","66 +","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","2008","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2008","17-34","kein Migrationshintergrund","375","0.109077021449292","0.0985831689090266","0.119570873989557"
"Mindestens einmal im Monat","2008","17-34","direkter Migrationshintergrund","40","0.108347874105279","0.0765914126861461","0.140104335524411"
"Mindestens einmal im Monat","2008","17-34","indirekter Migrationshintergrund","74","0.141452612384259","0.112589597101215","0.170315627667302"
"Mindestens einmal im Monat","2008","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2008","35-65","kein Migrationshintergrund","761","0.0824368681386821","0.0768411887575287","0.0880325475198356"
"Mindestens einmal im Monat","2008","35-65","direkter Migrationshintergrund","67","0.0564546779495132","0.0431558685532006","0.0697534873458258"
"Mindestens einmal im Monat","2008","35-65","indirekter Migrationshintergrund","20","","",""
"Mindestens einmal im Monat","2008","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2008","66 +","kein Migrationshintergrund","130","","",""
"Mindestens einmal im Monat","2008","66 +","direkter Migrationshintergrund","12","","",""
"Mindestens einmal im Monat","2008","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2008","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2008","17-34","kein Migrationshintergrund","1660","","",""
"Mindestens einmal die Woche","2008","17-34","direkter Migrationshintergrund","144","","",""
"Mindestens einmal die Woche","2008","17-34","indirekter Migrationshintergrund","244","","",""
"Mindestens einmal die Woche","2008","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2008","35-65","kein Migrationshintergrund","4046","0.420114392787549","0.4100721885925","0.430156596982598"
"Mindestens einmal die Woche","2008","35-65","direkter Migrationshintergrund","296","","",""
"Mindestens einmal die Woche","2008","35-65","indirekter Migrationshintergrund","71","0.347205306816969","0.279332052346347","0.415078561287591"
"Mindestens einmal die Woche","2008","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2008","66 +","kein Migrationshintergrund","1248","","",""
"Mindestens einmal die Woche","2008","66 +","direkter Migrationshintergrund","57","0.14969210517038","0.113240913125296","0.186143297215465"
"Mindestens einmal die Woche","2008","66 +","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal die Woche","2008","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2009","17-34","kein Migrationshintergrund","643","0.19745949669703","0.183551255538893","0.211367737855167"
"Fast nie oder nie","2009","17-34","direkter Migrationshintergrund","82","0.252403859943523","0.202749664755294","0.302058055131752"
"Fast nie oder nie","2009","17-34","indirekter Migrationshintergrund","116","","",""
"Fast nie oder nie","2009","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2009","35-65","kein Migrationshintergrund","2866","","",""
"Fast nie oder nie","2009","35-65","direkter Migrationshintergrund","537","0.509905282630995","0.479271894009721","0.54053867125227"
"Fast nie oder nie","2009","35-65","indirekter Migrationshintergrund","59","0.29776890350314","0.23257651568196","0.36296129132432"
"Fast nie oder nie","2009","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2009","66 +","kein Migrationshintergrund","2294","","",""
"Fast nie oder nie","2009","66 +","direkter Migrationshintergrund","262","","",""
"Fast nie oder nie","2009","66 +","indirekter Migrationshintergrund","6","1","1","1"
"Fast nie oder nie","2009","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2009","17-34","kein Migrationshintergrund","703","0.222278282813046","0.20775180419165","0.236804761434442"
"Mehrmals im Jahr","2009","17-34","direkter Migrationshintergrund","68","0.208650965463127","0.162202789523591","0.255099141402663"
"Mehrmals im Jahr","2009","17-34","indirekter Migrationshintergrund","119","","",""
"Mehrmals im Jahr","2009","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2009","35-65","kein Migrationshintergrund","1775","","",""
"Mehrmals im Jahr","2009","35-65","direkter Migrationshintergrund","170","","",""
"Mehrmals im Jahr","2009","35-65","indirekter Migrationshintergrund","42","0.221500040990836","0.162298448193287","0.280701633788386"
"Mehrmals im Jahr","2009","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2009","66 +","kein Migrationshintergrund","313","0.0822807723002255","0.073528828229433","0.0910327163710179"
"Mehrmals im Jahr","2009","66 +","direkter Migrationshintergrund","19","","",""
"Mehrmals im Jahr","2009","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2009","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2009","17-34","kein Migrationshintergrund","382","0.117125221846466","0.105890185341379","0.128360258351554"
"Mindestens einmal im Monat","2009","17-34","direkter Migrationshintergrund","34","0.124635843079558","0.0868794687141038","0.162392217445012"
"Mindestens einmal im Monat","2009","17-34","indirekter Migrationshintergrund","66","0.152632525023865","0.121389819214615","0.183875230833115"
"Mindestens einmal im Monat","2009","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2009","35-65","kein Migrationshintergrund","624","0.0759289933985656","0.0703401189975609","0.0815178677995702"
"Mindestens einmal im Monat","2009","35-65","direkter Migrationshintergrund","74","0.0643533290991222","0.0493166572595777","0.0793900009386668"
"Mindestens einmal im Monat","2009","35-65","indirekter Migrationshintergrund","17","","",""
"Mindestens einmal im Monat","2009","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2009","66 +","kein Migrationshintergrund","123","","",""
"Mindestens einmal im Monat","2009","66 +","direkter Migrationshintergrund","10","","",""
"Mindestens einmal im Monat","2009","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2009","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2009","17-34","kein Migrationshintergrund","1419","","",""
"Mindestens einmal die Woche","2009","17-34","direkter Migrationshintergrund","110","","",""
"Mindestens einmal die Woche","2009","17-34","indirekter Migrationshintergrund","208","","",""
