"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Sonstige Nichterwerbspersonen","2013","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","248","0.0267047981782861","0.0225113880656467","0.0308982082909255"
"Sonstige Nichterwerbspersonen","2013","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","841","0.109320342132533","0.101400974001955","0.117239710263111"
"Sonstige Nichterwerbspersonen","2013","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","42","0.0678987947794459","0.0443119450572395","0.0914856445016523"
"Sonstige Nichterwerbspersonen","2013","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","349","0.142342061276465","0.127433678163685","0.157250444389245"
"Sonstige Nichterwerbspersonen","2013","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2013","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","887","0.0459658668084942","0.0428093968877057","0.0491223367292827"
"Beamte","2013","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","143","0.019621850263827","0.0160142601576244","0.0232294403700297"
"Beamte","2013","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2013","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2013","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","34","0.0243530416176175","0.0177760117161019","0.0309300715191331"
"Beamte","2013","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2057","0.12754310802361","0.122272539197389","0.132813676849831"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","784","0.145959682305354","0.136374474584142","0.155544890026566"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1547","0.297830658718974","0.284920540937924","0.310740776500023"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","74","0.181737768960293","0.141509662821645","0.22196587509894"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","360","0.192993205060424","0.174756678884025","0.211229731236824"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","4865","0.301909563991134","0.294656002756067","0.309163125226201"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1574","0.300097750201067","0.287655585324918","0.312539915077216"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1112","0.220956721330104","0.209243968654862","0.232669474005346"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","71","0.192497775375722","0.151369030202507","0.233626520548936"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","500","0.294428664556641","0.273366984154876","0.315490344958406"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1153","0.0685659560925694","0.0645730662947923","0.0725588458903466"
"Selbstständige/ManagerInnen","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","344","0.0612271172537562","0.054718360195828","0.0677358743116844"
"Selbstständige/ManagerInnen","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","248","0.0560914145675649","0.0495955384135627","0.0625872907215671"
"Selbstständige/ManagerInnen","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","84","0.0390267589678972","0.0300778642288947","0.0479756537068997"
"Selbstständige/ManagerInnen","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1047","0.0586485619645746","0.0549361036887296","0.0623610202404195"
"In Ausbildung","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","278","0.053227229094903","0.0471327625662438","0.0593216956235622"
"In Ausbildung","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","259","0.0454188135506088","0.0395405520816352","0.0512970750195823"
"In Ausbildung","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","41","0.109199393759356","0.0766636226636856","0.141735164855026"
"In Ausbildung","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","355","0.216777594377043","0.1977369230257","0.235818265728386"
"In Ausbildung","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3709","0.305027513746848","0.29775289369602","0.312302133797676"
"In Rente oder Pension","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1478","0.310525809205756","0.297963955090644","0.323087663320867"
"In Rente oder Pension","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","475","0.174129683604424","0.163423938331258","0.184835428877589"
"In Rente oder Pension","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","56","0.226680387292606","0.183003948173415","0.270356826411797"
"In Rente oder Pension","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","524","0.0308559014336847","0.0281236522854285","0.033588150581941"
"Arbeitslose","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","417","0.0840123461545819","0.0764811795688378","0.0915435127403261"
"Arbeitslose","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","487","0.0849683516735012","0.0770966028805609","0.0928401004664415"
"Arbeitslose","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","62","0.142206891964858","0.10577243198257","0.178641351947146"
"Arbeitslose","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","134","0.0880750461971479","0.0749790512421907","0.101171041152105"
"Arbeitslose","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1207","0.0587727432788021","0.055056601875566","0.0624888846820381"
"Sonstige Nichterwerbspersonen","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","206","0.0251909449529475","0.0209366470829738","0.0294452428229212"
"Sonstige Nichterwerbspersonen","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","663","0.113070430345904","0.104130303895405","0.122010556796403"
"Sonstige Nichterwerbspersonen","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","34","0.0872474256596775","0.0578090676697582","0.116685783649597"
"Sonstige Nichterwerbspersonen","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","314","0.130874361764671","0.115289567325178","0.146459156204163"
"Sonstige Nichterwerbspersonen","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2014","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","826","0.0486766514687767","0.0452766318142538","0.0520766711232996"
"Beamte","2014","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","131","0.0197591208316341","0.0159808237656196","0.0235374178976487"
"Beamte","2014","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2014","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2014","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","34","0.0233090761089832","0.0163368154437148","0.0302813367742517"
"Beamte","2014","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2074","0.133978501730963","0.128464549481126","0.1394924539808"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","740","0.152124558893442","0.142139845788133","0.162109271998751"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1811","0.295561472539147","0.283541720420058","0.307581224658237"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","107","0.19024002282256","0.153314017766994","0.227166027878126"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","320","0.189115216043847","0.170350459565777","0.207879972521916"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","4487","0.297291539202805","0.28989276162191","0.3046903167837"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1474","0.295202588747457","0.282521336901373","0.307883840593542"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1289","0.236703030861495","0.225506106905786","0.247899954817204"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","98","0.279841366055399","0.237606291200113","0.322076440910686"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","464","0.320550774942442","0.298187930648824","0.342913619236061"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1065","0.0670826893075835","0.0630331285978253","0.0711322500173416"
"Selbstständige/ManagerInnen","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","321","0.0647927691729735","0.0579491301269605","0.0716364082189865"
"Selbstständige/ManagerInnen","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","262","0.0511398326983823","0.0453371234599463","0.0569425419368184"
"Selbstständige/ManagerInnen","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","88","0.0389627837854361","0.0296903185696791","0.0482352490011932"
"Selbstständige/ManagerInnen","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","990","0.0578890870061857","0.0541087503870475","0.0616694236253239"
"In Ausbildung","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","253","0.0499449081389119","0.0438888518802266","0.0560009643975972"
"In Ausbildung","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","283","0.0424903781721924","0.0371770465570484","0.0478037097873365"
"In Ausbildung","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","30","0.0539485037403013","0.0326940319370082","0.0752029755435945"
"In Ausbildung","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","357","0.220751434263684","0.200877223400987","0.24062564512638"
"In Ausbildung","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3615","0.308518363761646","0.301041629571444","0.315995097951848"
"In Rente oder Pension","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1456","0.313032992051526","0.300140618131137","0.325925365971914"
"In Rente oder Pension","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","465","0.173092541887487","0.163126615324698","0.183058468450276"
"In Rente oder Pension","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","54","0.218060284028624","0.179211435665886","0.256909132391362"
"In Rente oder Pension","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","497","0.0308377595732945","0.028039288916153","0.033636230230436"
"Arbeitslose","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","383","0.0752486467567706","0.0679148016802733","0.0825824918332679"
"Arbeitslose","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","638","0.0926640779708526","0.0850258994020244","0.100302256539681"
"Arbeitslose","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","80","0.132779172548288","0.100854014574144","0.164704330522433"
"Arbeitslose","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","128","0.0862225783701733","0.0727723135597901","0.0996728431805565"
"Arbeitslose","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1140","0.0566013731238723","0.0528607650293898","0.0603419812183548"
"Sonstige Nichterwerbspersonen","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","218","0.0290007208872841","0.0243353760803753","0.0336660656941929"
"Sonstige Nichterwerbspersonen","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","763","0.100701959687221","0.0927747410787665","0.108629178295675"
"Sonstige Nichterwerbspersonen","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","44","0.0527923480326037","0.0317540155439714","0.073830680521236"
"Sonstige Nichterwerbspersonen","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","267","0.108264143826858","0.0933753142694956","0.12315297338422"
"Sonstige Nichterwerbspersonen","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2015","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","792","0.0478006862936499","0.0443471652718544","0.0512542073154454"
"Beamte","2015","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","125","0.0206528153516346","0.0166988954481333","0.0246067352551358"
"Beamte","2015","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2015","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2015","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2015","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1780","0.125823253300938","0.120248334257522","0.131398172344354"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","674","0.151036456656919","0.140774035803223","0.161298877510615"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1695","0.290621598282337","0.280866376229407","0.300376820335267"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","124","0.194754602958631","0.17206310580034","0.217446100116923"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","305","0.185590881812593","0.166279941741454","0.204901821883733"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","4357","0.315650133057161","0.307837443511649","0.323462822602673"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1441","0.300502291598977","0.287362712664937","0.313641870533016"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1152","0.227756690428721","0.218746232064813","0.23676714879263"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","93","0.227132870021703","0.203125334891501","0.251140405151905"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","446","0.300539391457674","0.277765559237467","0.32331322367788"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","935","0.0622100076650337","0.0581498639216526","0.0662701514084148"
"Selbstständige/ManagerInnen","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","308","0.0653568537741768","0.0582735985989139","0.0724401089494398"
"Selbstständige/ManagerInnen","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","240","0.0582590969470001","0.0532266196259269","0.0632915742680733"
"Selbstständige/ManagerInnen","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","69","0.0381057515458371","0.028596141369588","0.0476153617220862"
"Selbstständige/ManagerInnen","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","913","0.0625398726684685","0.0584696948425757","0.0666100504943613"
"In Ausbildung","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","210","0.0481785478391483","0.0420413658299181","0.0543157298483785"
"In Ausbildung","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","474","0.0345137823367948","0.0305918187919652","0.0384357458816243"
"In Ausbildung","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","76","0.0766896657069525","0.0614422082340454","0.0919371231798596"
"In Ausbildung","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","320","0.220529730213394","0.199935899642253","0.241123560784534"
"In Ausbildung","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3451","0.302155297775419","0.294436440964312","0.309874154586526"
"In Rente oder Pension","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1386","0.302011609884193","0.288853293495374","0.315169926273012"
"In Rente oder Pension","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","440","0.163059350143131","0.155122385972419","0.170996314313844"
"In Rente oder Pension","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","48","0.152315726969411","0.131726284020247","0.172905169918575"
"In Rente oder Pension","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","420","0.0298480629178569","0.0269875992339399","0.0327085266017738"
"Arbeitslose","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","326","0.078017841604109","0.0703314478206326","0.0857042353875855"
"Arbeitslose","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","489","0.0846937478220839","0.0787117930452279","0.09067570259894"
"Arbeitslose","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","65","0.0949104093950218","0.0781162655542322","0.111704553235811"
"Arbeitslose","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","121","0.0868388387332733","0.072851518944378","0.100826158522169"
"Arbeitslose","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1002","0.0526685108171472","0.0489137265342888","0.0564232951000057"
"Sonstige Nichterwerbspersonen","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","214","0.0295575680923095","0.0247037483454164","0.0344113878392026"
"Sonstige Nichterwerbspersonen","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","3809","0.136342931135534","0.128970321925434","0.143715540345635"
"Sonstige Nichterwerbspersonen","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","742","0.18671018896957","0.164381571417046","0.209038806522093"
"Sonstige Nichterwerbspersonen","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","237","0.116815749866172","0.100861362103088","0.132770137629256"
"Sonstige Nichterwerbspersonen","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2016","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","737","0.0491048617979752","0.045472517182889","0.0527372064130613"
"Beamte","2016","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","118","0.0253388305501677","0.0208349742888836","0.0298426868114517"
"Beamte","2016","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","2016","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","2016","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","38","0.0337346758648852","0.0247667862727106","0.0427025654570597"
"Beamte","2016","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2017","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2155","0.132875531126553","0.127514989648292","0.138236072604814"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2017","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","843","0.168674425198806","0.158511209925958","0.178837640471653"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2017","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1848","0.289359169198868","0.280128101696366","0.298590236701371"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2017","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","149","0.18140520391514","0.158966772359422","0.203843635470859"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2017","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","364","0.204425759805251","0.185300280647633","0.223551238962869"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2017","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2017","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","5138","0.315049767787272","0.307713679929397","0.322385855645148"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2017","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1619","0.299749232203974","0.287314776740712","0.312183687667236"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2017","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1113","0.213123499464648","0.204787125644077","0.221459873285219"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2017","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","97","0.250653648356321","0.225418175326427","0.275889121386215"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2017","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","480","0.307301220909952","0.285420656936248","0.329181784883656"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2017","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","30","0.255428933524076","0.175374795010203","0.335483072037949"
"Selbstständige/ManagerInnen","2017","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1074","0.0633654507923679","0.0595181443085039","0.0672127572762319"
"Selbstständige/ManagerInnen","2017","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","339","0.0659650827660104","0.0592281913673752","0.0727019741646457"
"Selbstständige/ManagerInnen","2017","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","238","0.0565952082540051","0.0518914272488132","0.0612989892591969"
"Selbstständige/ManagerInnen","2017","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2017","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","85","0.0466593925585634","0.0366571416618355","0.0566616434552912"
"Selbstständige/ManagerInnen","2017","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2017","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1089","0.0601197241806996","0.0563657594253594","0.0638736889360399"
"In Ausbildung","2017","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","275","0.0492723680082529","0.0433981412093428","0.0551465948071629"
"In Ausbildung","2017","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","570","0.0395799188739734","0.0356109628239114","0.0435488749240353"
"In Ausbildung","2017","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","65","0.0891132683085882","0.0725236455615122","0.105702891055664"
"In Ausbildung","2017","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","334","0.196962450812419","0.178101490375848","0.215823411248989"
"In Ausbildung","2017","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","2017","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3614","0.298957964259808","0.291728226794095","0.30618770172552"
"In Rente oder Pension","2017","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1464","0.305602577546886","0.293099886740444","0.318105268353328"
"In Rente oder Pension","2017","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","467","0.161330757293943","0.153842820528942","0.168818694058944"
"In Rente oder Pension","2017","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","43","0.0967316132746729","0.0795198344398722","0.113943392109474"
"In Rente oder Pension","2017","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","35","0.0271392940918499","0.0194332983854323","0.0348452897982676"
"In Rente oder Pension","2017","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","2017","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","440","0.0277733944620347","0.0251783567991199","0.0303684321249495"
"Arbeitslose","2017","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","323","0.061789425231342","0.0552546873177525","0.0683241631449316"
"Arbeitslose","2017","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1346","0.101041987612815","0.0949067855877155","0.107177189637914"
"Arbeitslose","2017","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","244","0.163817232531122","0.142266425654836","0.185368039407407"
"Arbeitslose","2017","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","114","0.0681785003479915","0.0562250235399645","0.0801319771560185"
